,patient_email,User_ID,product_id,product_rating
75,qastberynl@army.mil,425,93,3
76,mgard67@walmart.com,370,1,3
77,tocannonhe@merriam-webster.com,522,61,3
78,jsouthern49@1und1.de,291,91,3
79,rluxmoore68@163.com,451,84,2
80,awalkletth3@goodreads.com,41,11,4
81,cmoneyn1@globo.com,114,64,5
82,tlowleshj@discovery.com,516,53,3
83,klowen6k@usgs.gov,314,21,3
84,sissacovjh@prweb.com,476,14,4
85,pcecchiko@gnu.org,416,114,4
86,cdunicank0@lycos.com,92,61,5
87,pmarmyon3g@washington.edu,421,122,2
88,atembeyi7@ibm.com,40,33,3
89,cstopper9f@google.com.hk,123,0,3
90,aabbeyao@wufoo.com,0,60,3
91,gbeardshallcw@walmart.com,212,120,4
92,vflexmanmx@jigsy.com,534,34,1
93,lgiacobbinijacobgk@webeden.co.uk,336,12,3
94,apachecok2@ycombinator.com,25,41,1
95,tcapnerhurstb8@netlog.com,503,31,3
96,siddensnr@feedburner.com,475,94,4
97,jgiorgietto5n@webeden.co.uk,277,124,1
98,dgolsthorp4b@yahoo.com,148,123,4
99,amacgruerqk@yellowpages.com,24,121,5
100,askogginsfy@bizjournals.com,37,70,2
101,fmcallisteroi@amazon.co.jp,204,111,3
102,rsilleyco@earthlink.net,461,93,1
103,nrizzardif9@psu.edu,398,124,5
104,credihalghhg@delicious.com,118,21,5
105,rcamockm1@cbslocal.com,432,110,3
106,ehinemoore7@e-recht24.de,188,101,5
107,ktremontek8@shop-pro.jp,323,80,4
108,bjurasekz@istockphoto.com,60,101,3
109,cmulholland72@google.com.au,115,104,3
110,aschererha@amazon.com,35,31,5
111,rcunnington76@sphinn.com,434,61,3
112,dwidgerfv@hao123.com,172,72,3
113,lbrandham3w@lulu.com,326,71,5
114,gtrail2z@yellowpages.com,236,10,3
115,klaurant64@dropbox.com,311,122,3
116,sculpen88@fda.gov,472,30,4
117,wevered4c@flavors.me,545,84,4
118,adeakins29@theglobeandmail.com,7,70,3
119,tgunninghamjj@shop-pro.jp,513,74,5
120,rdominy94@ucoz.com,437,40,3
121,flonghiio@lulu.com,203,90,3
122,cturnkk@alexa.com,125,124,1
123,ecaldecottw@vistaprint.com,178,91,3
124,fbatchanp0@tripod.com,196,71,3
125,dsephtonj1@ow.ly,166,84,5
126,rfolcarellidk@webeden.co.uk,441,121,3
127,gjohannesson9d@bloglovin.com,224,91,2
128,kjickellso3@omniture.com,308,60,1
129,ceasleal4@privacy.gov.au,94,120,1
130,aroderighij5@answers.com,32,121,2
131,pspeirs1v@1und1.de,424,11,3
132,tpricea3@samsung.com,523,54,3
133,lpentercostez@phoca.cz,345,50,3
134,dconquer4p@de.vu,140,31,1
135,ahowenbm@go.com,19,94,3
136,ldeblasio@purevolume.com,331,44,1
137,eerrowe50@patch.com,186,24,3
138,rmodeniy@thetimes.co.uk,455,92,3
139,ibuckette9@meetup.com,258,53,3
140,svitteryka@google.nl,495,104,1
141,imanifouldl5@abc.net.au,263,81,2
142,xdyzartbx@topsy.com,552,81,1
143,tmarianso0@pcworld.com,518,94,1
144,mbackebb@so-net.ne.jp,356,91,5
145,bsainsburyir@columbia.edu,73,103,1
146,odudill4z@bravesites.com,405,100,3
147,cedworthyeng@narod.ru,95,50,3
148,klellom6@cisco.com,313,63,4
149,lfladgate4a@craigslist.org,335,10,3
150,jmeneghi9e@mit.edu,288,91,3
151,dcoann4@list-manage.com,139,123,3
152,jlomazn0@t-online.de,287,2,4
153,gputtenfu@newyorker.com,232,30,1
154,hdecastri1e@comsenz.com,247,94,3
155,deton30@shop-pro.jp,145,102,1
156,ploosnp@wired.com,420,112,3
157,cminton6@mozilla.org,112,13,3
158,rmillsom8k@mlb.com,454,82,3
159,ahimpsona0@gnu.org,18,121,3
160,ahayterc9@hexun.com,17,83,5
161,cmaindsa1@twitter.com,110,123,4
162,omacdiarmondlk@deviantart.com,409,34,2
163,sosiaghailqr@unc.edu,486,50,5
164,dcasebourne2j@google.fr,137,33,3
165,lkellercz@upenn.edu,339,24,3
166,asabbertonds@dell.com,33,123,3
167,geastbyhf@census.gov,217,83,4
168,mrobarts4d@amazon.de,381,104,5
169,cblydenf1@auda.org.au,84,14,1
170,afontellesjn@ehow.com,12,122,2
171,fmynott9b@utexas.edu,206,71,3
172,udavidovsky8b@163.com,531,123,3
173,knelthroppoy@domainmarket.com,316,70,1
174,clinnj0@dropbox.com,109,52,2
175,pbauldrey9@google.com.hk,414,20,2
176,tbage87@simplemachines.org,498,70,3
177,nferschkedy@imdb.com,392,63,1
178,oackermanp3@desdev.cn,403,111,2
179,lschulzemb@thetimes.co.uk,350,63,3
180,wverring9u@uiuc.edu,551,110,4
181,ataconc3@cbc.ca,39,32,2
182,gvodden9q@sourceforge.net,238,61,2
183,asunockn2@stanford.edu,38,43,3
184,acovertgd@hhs.gov,5,60,3
185,mveljesqp@nature.com,387,41,3
186,hboulstridgec6@vkontakte.ru,242,71,3
187,rneed70@guardian.co.uk,456,20,3
188,gpaulazziaw@oaic.gov.au,229,72,1
189,dsuppleks@live.com,169,13,3
190,dmonetiem@toplist.cz,159,90,3
191,vlargenti@oracle.com,538,113,3
192,cgeldeard1g@ask.com,98,111,4
193,kthunnercliffeac@pagesperso-orange.fr,322,71,4
194,agransden5t@howstuffworks.com,15,34,2
195,cumbert2v@thetimes.co.uk,126,42,3
196,wformillicg@washingtonpost.com,546,71,1
197,klamprechtpu@shareasale.com,310,33,3
198,showes98@cmu.edu,474,81,3
199,eduferie80@csmonitor.com,185,11,1
200,lcarpn5@harvard.edu,327,90,1
201,igoldsackpk@abc.net.au,260,82,3
202,mwallbutton6@boston.com,388,10,2
203,btriggs8x@springer.com,78,60,1
204,rumneyhb@spiegel.de,464,23,2
205,mcastellmh@mozilla.com,362,30,2
206,ccanningsg9@acquirethisname.com,87,83,3
207,osterryqt@wired.com,412,114,3
208,rkiendl55@multiply.com,448,64,1
209,jgarnammn@npr.org,275,82,4
210,edorrelles@vistaprint.com,184,4,3
211,dondrasekh1@nih.gov,161,0,4
212,bdedmamix@businesswire.com,51,54,4
213,adursley3u@fastcompany.com,8,14,1
214,chansburyqz@ning.com,102,43,2
215,rrosenkrantz23@ucsd.edu,460,23,5
216,bfibbittsrl@google.fr,56,11,3
217,screaserjl@xinhuanet.com,471,4,4
218,apycockkn@godaddy.com,31,84,1
219,jbugge42@vk.com,268,33,2
220,tnielson79@google.es,520,104,3
221,mwolverson1y@icq.com,390,62,4
222,drown7a@ft.com,165,41,5
223,temeney8s@miitbeian.gov.cn,509,12,3
224,njosumaa@devhub.com,394,102,3
225,jgalbraethb3@bing.com,274,63,4
226,bclardgene@nih.gov,47,4,3
227,rburriss43@google.es,431,121,5
228,blagrangeb1@yahoo.com,62,20,2
229,jlemonnierhi@feedburner.com,285,123,3
230,mgalbraithit@statcounter.com,369,70,3
231,aphettis69@sciencedirect.com,29,72,3
232,ztrythalll7@seesaa.net,558,103,5
233,rkornelukj2@gnu.org,449,64,4
234,ecolquhoun7f@quantcast.com,180,83,3
235,gatchlykv@163.com,211,1,4
236,sruselin5a@wikispaces.com,490,113,3
237,tscutchinp6@answers.com,525,1,1
238,dbremmer8o@webnode.com,135,62,3
239,cbradbornelm@wiley.com,85,63,1
240,apennoned3@businesswire.com,26,120,3
241,eblewettf@360.cn,177,100,1
242,rriccettifw@nhs.uk,457,20,3
243,mmerigotps@smugmug.com,377,31,5
244,cstirleydi@baidu.com,122,100,2
245,ainggall6l@google.com.br,20,101,2
246,fthal6y@fc2.com,209,52,3
247,dtomankiewiczih@cnn.com,171,93,5
248,bbisattpg@ustream.tv,46,121,1
249,pbeiderbeckedj@kickstarter.com,415,60,3
250,nleithgoebw@studiopress.com,395,21,1
251,cgazeyad@ed.gov,97,50,2
252,crichfordkl@cargocollective.com,119,50,3
253,mhennerkd@dyndns.org,372,63,5
254,dleveringtond6@pcworld.com,155,2,1
255,svoadeney@jimdo.com,496,22,3
256,rdaylyg8@people.com.cn,435,33,3
257,olindsay3n@devhub.com,408,24,5
258,wcoweuppekp@businesswire.com,544,23,5
259,rkamien9z@51.la,446,4,4
260,dmcsharryqe@miibeian.gov.cn,158,2,3
261,dharlettni@boston.com,151,91,2
262,mdurief6@earthlink.net,365,91,3
263,tconnechiep9@ibm.com,504,11,2
264,kgreeson9g@telegraph.co.uk,304,50,3
265,svirr8e@berkeley.edu,494,110,3
266,fcastagnaa8@sakura.ne.jp,199,94,1
267,nbondesen3x@nyu.edu,391,62,4
268,jbuttrickia@zimbio.com,269,113,2
269,nswinglehurst2l@addtoany.com,402,10,3
270,mcastelletto1r@whitehouse.gov,361,114,3
271,jtorbettow@mtv.com,293,0,4
272,gdunnet78@livejournal.com,216,20,3
273,kdacostaq4@hatena.ne.jp,303,111,5
274,rduquesnay25@jigsy.com,440,22,3
275,wbarritt6h@vkontakte.ru,542,32,3
276,sronayne8d@cafepress.com,488,122,5
277,ilowdek4@boston.com,262,64,3
278,ilangfortho7@java.com,261,44,4
279,dwolfindale18@ihg.com,174,123,5
280,cbraddfm@hibu.com,86,30,2
281,gharlowf4@cargocollective.com,223,44,3
282,dwilemanhm@uiuc.edu,173,112,5
283,aesplinl0@macromedia.com,9,50,3
284,hfacer9m@aboutads.info,248,110,3
285,rtooveyk1@phpbb.com,463,53,5
286,dmcmichellkw@gmpg.org,157,50,2
287,ttrewmanh@businessinsider.com,528,120,1
288,nscotsonag@hostgator.com,400,31,2
289,dkurtonhc@cbc.ca,154,93,3
290,tboathql@jalbum.net,501,74,4
291,rhalpineiu@multiply.com,444,91,3
292,rroelofsenor@cam.ac.uk,459,1,2
293,gdingwalllb@craigslist.org,215,111,5
294,rdunnionm8@census.gov,439,31,3
295,lwimbushfh@photobucket.com,353,42,1
296,wallardqj@reuters.com,541,111,3
297,rupham5h@nasa.gov,465,121,2
298,rmeasenen@deviantart.com,453,63,1
299,kpattingsone4@squarespace.com,317,12,2
300,ckiniggt@dropbox.com,105,90,4
301,azavattarieb@sakura.ne.jp,45,12,5
302,cgilbankski@hugedomains.com,99,3,5
303,bnoquet1a@ask.com,65,94,3
304,bvassman21@nbcnews.com,79,44,4
305,dtiddyn9@chron.com,170,12,3
306,ldepietri1z@furl.net,333,122,1
307,skeyis@wisc.edu,478,61,5
308,bpidon7@linkedin.com,69,51,2
309,ljessardob@is.gd,337,10,3
310,sloisi71@flavors.me,481,54,3
311,qloryid@multiply.com,426,72,3
312,tzorzenoninz@google.de,530,1,2
313,sarundelea@reference.com,468,122,2
314,hbedellbo@google.com.br,241,50,4
315,mboraston82@businesswire.com,358,63,3
316,ahastwellny@blog.com,16,73,3
317,chulatte8@tripadvisor.com,103,113,5
318,dpriestp2@linkedin.com,163,111,3
319,tcowpertwaitbz@tamu.edu,505,92,3
320,tbeatens40@ebay.co.uk,500,0,5
321,smagarrell5v@un.org,483,30,2
322,ddearsleypj@joomla.org,143,42,1
323,dblasepx@addtoany.com,132,43,3
324,dcurrm57@about.me,142,41,1
325,hgodier8n@de.vu,250,103,5
326,mbritths@army.mil,359,43,1
327,rdobsonb2@yellowbook.com,436,61,5
328,ccritchardjf@cloudflare.com,89,114,1
329,sspaicenc@tuttocitta.it,492,20,3
330,mmoreyrc@vk.com,378,91,4
331,jphelipeauxe1@t-online.de,289,62,3
332,jsivessbe@ifeng.com,290,110,3
333,fsimonianof@prlog.org,207,20,3
334,khapke3p@flavors.me,306,91,3
335,bratteryb9@goodreads.com,72,54,5
336,mstolworthyna@meetup.com,385,31,5
337,jyewdellaz@ted.com,296,104,3
338,acanadasqi@comcast.net,4,63,3
339,gvonderemptenfc@cam.ac.uk,239,83,1
340,lcockmangh@shop-pro.jp,329,112,2
341,mdranfield46@mysql.com,364,80,3
342,jitzcovichchev@businesswire.com,280,44,5
343,jchatainiermm@people.com.cn,270,82,3
344,bdavidover7@addthis.com,50,62,1
345,rburgejr@goodreads.com,430,41,3
346,phaggiem9@imageshack.us,418,122,2
347,ecuttinglw@gizmodo.com,182,51,2
348,fbranchk5@joomla.org,198,73,1
349,rbrennanmg@xinhuanet.com,429,94,3
350,fspofforthhk@eepurl.com,208,14,2
351,gpopland6w@techcrunch.com,230,102,4
352,tdymokepf@virginia.edu,508,10,4
353,ldawidowsky73@engadget.com,330,80,3
354,nrowlinh8@github.com,399,33,5
355,bdunseath5r@businesswire.com,54,84,5
356,cbecom20@gmpg.org,82,63,5
357,apettigrew4h@deliciousdays.com,28,103,2
358,enelmesq9@over-blog.com,192,43,4
359,debbingf3@csmonitor.com,144,123,3
360,ljonesi2@netvibes.com,338,30,2
361,kgurrypq@weather.com,305,82,4
362,ttavener3t@tiny.cc,526,42,3
363,apenton1u@nyu.edu,27,50,3
364,tjenkenkx@unc.edu,514,21,3
365,khurling56@dyndns.org,307,94,3
366,dhampercm@so-net.ne.jp,150,94,5
367,coughtrightom@exblog.jp,117,20,3
368,jbrobynfb@hc360.com,266,31,5
369,hwillardke@spotify.com,256,83,3
370,sbuttressb7@go.com,470,23,2
371,dstolli99@vinaora.com,168,50,2
372,rwhitley7t@infoseek.co.jp,466,91,3
373,bcreeganr0@ucla.edu,48,123,5
374,wakaster32@godaddy.com,540,83,1
375,gmcintoshe2@lulu.com,227,44,3
376,cbiffenh0@imageshack.us,83,80,1
377,jzanazziop@xrea.com,297,92,5
378,hbazelyhl@spiegel.de,240,120,3
379,mbeedhamhd@fda.gov,357,102,1
380,dchastongo@economist.com,138,3,5
381,fchastandku@wiley.com,200,60,4
382,azamoram2@google.com,44,14,2
383,asambrok45@newyorker.com,34,31,5
384,ismitheramiw@newyorker.com,264,121,5
385,dbrachelli4@youtu.be,134,11,5
386,hcottrellmf@bravesites.com,245,102,3
387,lbowkettc5@craigslist.org,325,74,5
388,cjamsongs@chicagotribune.com,104,72,3
389,bshiers8g@artisteer.com,74,114,3
390,nsivescn@comcast.net,401,112,5
391,rcauseyg@nature.com,433,62,3
392,wseeks5k@multiply.com,550,111,3
393,bstaffordgi@pcworld.com,75,63,1
394,lboudme@t.co,324,62,3
395,ggovan89@etsy.com,221,44,3
396,lmccorkell1f@cnet.com,343,24,3
397,kplumley2x@mapy.cz,318,62,5
398,mcarrier3m@issuu.com,360,90,3
399,fwigfield24@csmonitor.com,210,23,4
400,sfoxten63@barnesandnoble.com,473,100,3
401,triallod@tamu.edu,524,110,1
402,jfernandezcj@photobucket.com,273,44,4
403,ttaytak@fema.gov,527,112,3
404,cwathanae@cbslocal.com,129,34,3
405,eartrickgr@chronoengine.com,176,63,3
406,toakhillff@multiply.com,521,44,4
407,dsiredge@bandcamp.com,167,34,1
408,tdewittbs@cnn.com,507,60,3
409,aleifig@examiner.com,23,93,1
410,lpettigree7y@comsenz.com,346,63,5
411,hpoolton2q@google.fr,253,104,3
412,ccrokenn@webmd.com,90,42,1
413,yalessandrinirb@flavors.me,553,21,4
414,cdukese6@foxnews.com,91,23,3
415,kbirkbyqh@slideshare.net,298,23,3
416,besmondey@about.com,55,81,3
417,lpigotil@typepad.com,347,90,4
418,sbelshawll@linkedin.com,469,123,3
419,glingnergw@google.co.uk,226,113,3
420,gketchmv@printfriendly.com,225,82,3
421,krozetch@nytimes.com,320,72,2
422,dferonet3k@gnu.org,146,73,3
423,ccondonr2@tinypic.com,88,102,3
424,oduckersrd@sogou.com,404,74,4
425,rmattingleydb@blogger.com,452,104,4
426,ecuzengf@stanford.edu,183,121,2
427,tmanoellijx@businesswire.com,517,11,3
428,tdelgadilloh9@amazonaws.com,506,21,5
429,pbales5@hugedomains.com,413,44,2
430,bdeningtonfl@fotki.com,52,41,3
431,agradlylg@fda.gov,14,91,4
432,tlavarack4k@bloglines.com,515,23,3
433,djanoschekfn@wsj.com,153,0,3
434,tburstowedd@fotki.com,502,101,1
435,sliebfz@drupal.org,480,84,5
436,cshinefieldce@mtv.com,120,42,3
437,kcompfordp8@umn.edu,301,104,3
438,jviegas58@fda.gov,294,90,3
439,ecastellini2g@mayoclinic.com,179,120,1
440,hchapelhow1d@berkeley.edu,243,22,2
441,fleipoldtdg@paypal.com,202,32,4
442,mpawlingm5@google.co.jp,379,11,3
443,asilveron@buzzfeed.com,36,42,3
444,bhebardj3@hao123.com,59,22,3
445,ejikylls6g@elegantthemes.com,189,63,1
446,jtanseyqq@eventbrite.com,292,41,3
447,alefeuvrej7@tripod.com,22,33,4
448,hcosans59@state.tx.us,244,12,5
449,rboyderj@gizmodo.com,428,104,3
450,rlawfullh2@shop-pro.jp,450,22,4
451,bgullimanfp@1und1.de,58,33,5
452,oslide1h@dyndns.org,411,91,2
453,bpammentph@booking.com,66,11,3
454,wbullerscp@creativecommons.org,543,11,4
455,lkilgannon6o@abc.net.au,341,103,1
456,jclawson6e@pcworld.com,271,44,3
457,dloudq1@acquirethisname.com,156,2,1
458,ltooneei@alexa.com,352,30,4
459,cmantonej@nih.gov,111,91,3
460,escollan9n@google.ca,195,23,3
461,bponcefordjs@people.com.cn,70,42,3
462,bstennett75@toplist.cz,76,31,3
463,dmonteaux9j@stanford.edu,160,12,3
464,wmccriskenmt@netvibes.com,547,102,5
465,sratnege6q@amazon.co.jp,487,34,1
466,mlockett27@wsj.com,375,80,4
467,lnoem0@shareasale.com,344,123,5
468,klaweyqd@fda.gov,312,62,2
469,cokinedy2y@sohu.com,116,92,3
470,wroger9s@microsoft.com,549,84,4
471,rkasbyeah@g.co,447,100,2
472,rtillot4o@shutterfly.com,462,70,3
473,dbomandz@topsy.com,133,80,3
474,bportlock2b@google.it,71,102,1
475,kkerslakeji@unicef.org,309,0,3
476,usawdaydf@taobao.com,532,40,3
477,rdougaryar@prweb.com,438,41,4
478,ckosejz@creativecommons.org,106,121,3
479,cwalklettv@ifeng.com,128,84,1
480,mmenegojc@irs.gov,376,103,1
481,kbroggetti6u@tamu.edu,299,104,3
482,mambroziak8m@netscape.com,354,122,2
483,bwhordleyhh@lycos.com,80,33,3
484,cledleyi3@washington.edu,107,73,1
485,syeendba@cargocollective.com,497,60,5
486,afeitosa2r@accuweather.com,11,43,1
487,epannettmk@fema.gov,193,54,2
488,hhayeneg@telegraph.co.uk,251,11,4
489,gfrostickbu@goo.ne.jp,219,93,3
490,mattwoulllo@msu.edu,355,121,1
491,vbuddfq@pbs.org,533,13,3
492,abullion3o@behance.net,3,104,5
493,oshimoniju@fotki.com,410,112,5
494,blandejo@smugmug.com,63,73,3
495,msouthc1@ihg.com,383,74,3
496,abrokerat@state.gov,2,94,3
497,fmeany6x@nps.gov,205,31,5
498,sorigin3b@amazon.co.uk,485,14,4
499,jlight7k@wikimedia.org,286,73,3
500,gunwin1b@dot.gov,237,54,4
501,tmcclureo1@ezinearticles.com,519,71,3
502,tgatherelleh@canalblog.com,511,92,3
503,caeryln@sfgate.com,81,42,1
504,cmoirgv@cam.ac.uk,113,11,3
505,plestrangekt@gmpg.org,419,24,5
506,jgavec7@reverbnation.com,276,3,1
507,jwordsworth5y@cornell.edu,295,22,3
508,hcoursonr@blogspot.com,246,3,5
509,hronayne8f@baidu.com,255,32,1
510,jinkin51@ted.com,279,23,4
511,sroysonbc@feedburner.com,489,12,3
512,mtapsonan@about.com,386,21,1
513,kcrombp1@google.com.au,302,63,3
514,mfawlkes7p@seesaa.net,367,54,4
515,smaffioletti4s@dagondesign.com,482,3,2
516,emollont@ameblo.jp,191,104,4
517,kprandi2k@ucsd.edu,319,1,2
518,gdavidescocq@biglobe.ne.jp,214,83,1
519,jhalsall66@barnesandnoble.com,278,63,3
520,gfarmarrh@soup.io,218,40,2
521,jlakeje@goo.ne.jp,284,33,3
522,nhyndej4@gravatar.com,393,4,3
523,lfaulksd7@foxnews.com,334,112,2
524,grougebd@ezinearticles.com,233,111,4
525,ldennissgj@pinterest.com,332,112,4
526,awoodhams7v@marriott.com,42,124,3
527,ggrogerie@sohu.com,222,103,3
528,fbellier1@opera.com,197,80,5
529,saronowiczld@netscape.com,467,73,1
530,gglitherow2f@java.com,220,82,1
531,bkeetleyox@dell.com,61,22,1
532,gprescotg2@amazon.co.uk,231,33,1
533,mpuffettab@elegantthemes.com,380,3,4
534,centwislekq@dmoz.org,96,120,1
535,mjaze8a@arizona.edu,374,44,3
536,mstaddartl1@addtoany.com,384,62,4
537,hfeldoncc@gmpg.org,249,93,2
538,ralps9h@artisteer.com,427,3,3
539,kmewett7x@google.com,315,123,3
540,sseekingiv@de.vu,491,23,3
541,gsemberrn@sfgate.com,235,63,3
542,dbehnincknq@webnode.com,130,43,3
543,bpaulsen2e@quantcast.com,68,102,3
544,nmetziget@bloglines.com,396,24,3
545,agillmor54@seattletimes.com,13,112,4
546,jkervino9@trellian.com,282,83,5
547,rgulyrm@accuweather.com,443,41,3
548,sjoronmi@toplist.cz,477,121,3
549,ehalseyg0@people.com.cn,187,124,3
550,mwelsbyou@forbes.com,389,102,3
551,yandorro@tamu.edu,554,73,3
552,dcalcott16@google.cn,136,43,3
553,cdurno36@squarespace.com,93,32,2
554,yhexamfj@opera.com,555,91,5
555,vizachik2i@ihg.com,537,94,1
556,ksmalecombe48@prweb.com,321,2,3
557,dhurrenr4@goo.ne.jp,152,74,2
558,csileyep@whitehouse.gov,121,34,3
